,2013_publications,2014_publications,2015_publications,2016_publications,2017_publications,2018_publications,2019_publications,2020_publications,2021_publications,2022_publications,2023_publications
0,3195,2486,2556,2810,2302,718,13,4,0,0,0
1,3227,2560,2577,3028,3123,2680,789,19,0,0,0
2,3272,2584,2493,3112,3446,3502,2596,881,19,1,0
3,3553,2669,2798,3338,3691,4128,3798,3180,1097,59,1
4,3374,2305,2483,3017,3671,3788,3775,3805,3406,757,27
5,2173,1438,1556,1925,2226,2397,2495,2565,2896,1535,197
