,2013_publications,2014_publications,2015_publications,2016_publications,2017_publications,2018_publications,2019_publications,2020_publications,2021_publications,2022_publications,2023_publications
0,3646,3071,3431,3371,2819,995,19,3,0,0,0
1,3576,3120,3396,3617,3890,3371,1053,36,1,0,0
2,3628,3119,3319,3736,4249,4412,3551,1053,66,3,0
3,3834,3214,3613,3999,4657,5062,5137,3773,1459,73,1
4,3638,2789,3224,3637,4565,4753,5061,4427,4428,1355,31
5,2343,1711,2030,2318,2720,2974,3253,2883,3633,2315,339
