,2013_publications,2014_publications,2015_publications,2016_publications,2017_publications,2018_publications,2019_publications,2020_publications,2021_publications,2022_publications,2023_publications
0,4314,3517,3836,4020,3464,1150,21,7,0,0,0
1,4282,3522,3842,4311,4764,4003,1253,45,2,0,0
2,4247,3521,3722,4392,5186,5223,4247,1347,112,3,0
3,4538,3625,4114,4768,5634,6085,6111,4847,1723,92,1
4,4268,3142,3624,4287,5516,5691,5955,5629,5118,1489,32
5,2737,1942,2284,2719,3291,3579,3792,3646,4195,2597,377
