,Last Name,First Name,Affiliation,Country,Scopus Author ID,ORCID,Research Areas,Warnings
141,Coelho,Jennifer S,,,,,,no profile found
142,Cohen,Greg,,,,,,no profile found
143,Cohen,Jordan,,,,,,no profile found
144,Cohen,David Jay,,,,,,no profile found
145,Cojocaru,Alice,,,,,,no profile found
146,Collins,Nelson,,,,,,no profile found
147,Comeau,Jennifer,,,,,,no profile found
148,Comeau,Kent,,,,,,no profile found
149,Comey,Rob,,,,,,no profile found
150,Cook,Daniel,,,,,,no profile found
151,Cooper,Michael,,,,,,no profile found
152,Cooper,Barry,,,,,,no profile found
153,Corbyn,Bryony,,,,,,no profile found
154,Correia,Shauna,,,,,,no profile found
155,Coupland,Jason,,,,,,no profile found
156,Cox,Darcy,,,,,,no profile found
157,Coxon,Carol,,,,,,no profile found
158,Craig,Ann Marie,,,,,,no profile found
159,Crawford,Tanya,,,,,,no profile found
160,Crawford,Anne,,,,,,no profile found
161,Crowell,Timothy,,,,,,no profile found
162,Culo,Sandi,,,,,,no profile found
163,Cunningham,Melissa,,,,,,no profile found
164,Darabian,Kaveh,,,,,,no profile found
165,Davis,Lindsay,,,,,,no profile found
166,de Luca,Marina,,,,,,no profile found
167,de Rappard,Sherry,,,,,,no profile found
168,Degenhardt,Amanda,,,,,,no profile found
169,Derocher,Christopher,,,,,,no profile found
170,Derry,Heather,,,,,,no profile found
171,Dhaese,Marie-José,,,,,,no profile found
172,Dhaliwal,Kuljit,,,,,,no profile found
173,Dhariwal,Amrit,,,,,,no profile found
174,Diamond,Adele,,,,,,no profile found
175,Dimov,Marius,,,,,,no profile found
176,Doan,Nam,,,,,,no profile found
177,Docherty,Claire,,,,,,no profile found
178,Dodd,Lindsay,,,,,,no profile found
179,Dodge,Liam,,,,,,no profile found
180,Donahue,Birgitta,,,,,,no profile found
181,Donaldson,Heather,,,,,,no profile found
182,Dosanjh,Robbie,,,,,,no profile found
183,Douziech,Jeffrey,,,,,,no profile found
184,Douziech,Ingrid,,,,,,no profile found
185,Dowey,Michael,,,,,,no profile found
186,d'Oyley,Heather,,,,,,no profile found
187,Drabkin,Rodney,,,,,,no profile found
188,Drance,Elisabeth,,,,,,no profile found
189,Driscoll,Miriam,,,,,,no profile found
190,Drouillard,Natalie,,,,,,no profile found
191,Dua,Vikram,,,,,,no profile found
192,Duncalf,Cliff,,,,,,no profile found
193,Duncan,Don,,,,,,no profile found
194,Dunn,Patrice,,,,,,no profile found
195,Duru,Doris,,,,,,no profile found
196,Ebenstiner,Janice,,,,,,no profile found
197,Edalati,Kourosh,,,,,,no profile found
198,Edirmanasinghe,Dimitri,,,,,,no profile found
199,Edwards,Katherine,,,,,,no profile found
200,Eksteen,Hendri-Charl,,,,,,no profile found
201,Elahi,Fawad,,,,,,no profile found
202,Elefante,Raymond Julius Obena,,,,,,no profile found
203,Elfers,Theo,,,,,,no profile found
204,Elliott,Katherine,,,,,,no profile found
205,Emes,Craig,,,,,,no profile found
206,Erickson,Dave,,,,,,no profile found
207,Esau,Steven,,,,,,no profile found
208,Eslami,Ali,,,,,,no profile found
209,Esmaili,Haydeh,,,,,,no profile found
210,Eswar,Shruthi,,,,,,no profile found
211,Evans,Anush,,,,,,no profile found
212,Fabian,James,,,,,,no profile found
213,Fabriel-Leclerc,Christin,,,,,,no profile found
214,Fadeyi,Oludare,,,,,,no profile found
215,Fahy,Mellisa,,,,,,no profile found
216,Fantus,Claire,,,,,,no profile found
217,Faraz,Muniba,,,,,,no profile found
218,Fedoroff,Ingrid,,,,,,no profile found
219,Fennemore,Marie,,,,,,no profile found
220,Ferguson,Gisele,,,,,,no profile found
221,Fernando,Nadeesha,,,,,,no profile found
222,Fibiger,Hans,,,,,,no profile found
223,Finch,Susan,,,,,,no profile found
224,Fine,Stuart H.,,,,,,no profile found
225,Flannigan,Stacy,,,,,,no profile found
226,Fleming,Katherine,,,,,,no profile found
227,Flynn,Sean,,,,,,no profile found
228,Forbes,Ian,,,,,,no profile found
229,Fox,Joel,,,,,,no profile found
230,Frangou,Sophia,,,,,,no profile found
231,Frankland,Allan,,,,,,no profile found
232,Fredrikson,Diane Helen,,,,,,no profile found
233,Freedman,Glen,,,,,,no profile found
234,Freer,Janya,,,,,,no profile found
235,French,Kelly,,,,,,no profile found
236,Frew,Patricia,,,,,,no profile found
237,Frie,Roger,,,,,,no profile found
238,Friesen,Wesley Howard,,,,,,no profile found
239,Frizen,Oxana,,,,,,no profile found
240,Froese,Colleen,,,,,,no profile found
241,Frolic,Natasha,,,,,,no profile found
242,Fulton,Heather,,,,,,no profile found
243,Fung,Kathryn,,,,,,no profile found
244,Fung,Jonathan,,,,,,no profile found
245,Furigay,Yvetta,,,,,,no profile found
246,Furlong,Allan,,,,,,no profile found
247,Galloway,Ashley,,,,,,no profile found
248,Gambetti,Andrea,,,,,,no profile found
249,Gamble,Allison,,,,,,no profile found
250,Gambouras,Adam,,,,,,no profile found
251,Gandham,Natasha,,,,,,no profile found
252,Gandhi,Priya,,,,,,no profile found
253,Gannon,Shivaun Rose,,,,,,no profile found
254,Gansner,Melissa,,,,,,no profile found
255,Garbett,Sally,,,,,,no profile found
256,Geisler,Robert,,,,,,no profile found
257,Geizer,Marie,,,,,,no profile found
258,Geller,Josie,,,,,,no profile found
259,Genge,Margot,,,,,,no profile found
260,Gibson,Peter,,,,,,no profile found
261,Gicas,Kristina,,,,,,no profile found
262,Gilks,Thea,,,,,,no profile found
263,Gill,Jitender,,,,,,no profile found
264,Gill,Nadia,,,,,,no profile found
265,Gill,Sharleen,,,,,,no profile found
266,Gillespie,Ian,,,,,,no profile found
267,Gillis,Randall,,,,,,no profile found
268,Goresky,Walter,,,,,,no profile found
269,Gourdeau,Julie,,,,,,no profile found
270,Grech,Theresa,,,,,,no profile found
271,Greenaway,Masa'Il,,,,,,no profile found
272,Gregoryanz,Tatiana,,,,,,no profile found
273,Gregson,Alison,,,,,,no profile found
274,Grewal,Seena,,,,,,no profile found
275,Grewal,Gurinder,,,,,,no profile found
276,Griffiths,Brenda Lee,,,,,,no profile found
277,Grimminck,Rachel,,,,,,no profile found
278,Grishin,Nataliya,,,,,,no profile found
279,Guan,Brian,,,,,,no profile found
280,Gubanov,Alexander,,,,,,no profile found
281,Gutteridge,Ursula,,,,,,no profile found
282,Ha,Kyooseob,,,,,,no profile found
283,Habibi,Mehrdad,,,,,,no profile found
284,Haddon,Craig,,,,,,no profile found
